epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,7246.89,0.38458,0.317,0.927,0.98424,0.95966,0.97018,0.95962,0.21905,0.21531,0.77885,0.000372683,0.000372683,0.000372683
58,7372.59,0.36671,0.31845,0.91363,0.98386,0.96836,0.97105,0.96093,0.21828,0.21435,0.77719,0.00035382,0.00035382,0.00035382
59,7497.79,0.37577,0.31765,0.91961,0.98387,0.96836,0.97073,0.96014,0.21605,0.20339,0.78266,0.000334958,0.000334958,0.000334958
60,7623.03,0.36819,0.31985,0.91484,0.98356,0.96836,0.96993,0.95812,0.22626,0.20129,0.78493,0.000316095,0.000316095,0.000316095
61,7747.94,0.38409,0.32948,0.9285,0.9823,0.96836,0.96979,0.95899,0.22996,0.20974,0.79733,0.000297232,0.000297232,0.000297232
62,7873.56,0.36873,0.31759,0.91072,0.98133,0.96836,0.97143,0.9576,0.21686,0.20285,0.79418,0.000278369,0.000278369,0.000278369
63,7999,0.35434,0.30042,0.90559,0.98062,0.96836,0.97326,0.96061,0.20721,0.21003,0.78829,0.000259506,0.000259506,0.000259506
64,8125.56,0.34904,0.30525,0.91151,0.98407,0.96836,0.97231,0.9609,0.20991,0.20019,0.78761,0.000240644,0.000240644,0.000240644
65,8250.74,0.34202,0.2951,0.90625,0.98369,0.96836,0.97318,0.96312,0.21459,0.19556,0.79176,0.000221781,0.000221781,0.000221781
66,8374.34,0.1972,0.20395,0.77962,0.99053,0.96836,0.97208,0.95906,0.21006,0.19749,0.7906,0.000202918,0.000202918,0.000202918
67,8497.83,0.19663,0.19565,0.79435,0.98884,0.96836,0.97209,0.95755,0.20694,0.19285,0.78992,0.000184055,0.000184055,0.000184055
68,8622.76,0.19383,0.19461,0.78665,0.9829,0.96836,0.97237,0.96067,0.20712,0.1808,0.7963,0.000165192,0.000165192,0.000165192
69,8746.77,0.18799,0.18951,0.78593,0.98221,0.96836,0.97231,0.96013,0.20491,0.18065,0.78944,0.00014633,0.00014633,0.00014633
70,8870.93,0.18336,0.18176,0.78977,0.98339,0.96836,0.97187,0.9615,0.19962,0.17356,0.79177,0.000127467,0.000127467,0.000127467
71,8994.64,0.18909,0.1875,0.78967,0.99014,0.96836,0.9711,0.95933,0.2004,0.17346,0.79396,0.000108604,0.000108604,0.000108604
72,9118.65,0.17618,0.17637,0.78525,0.9813,0.96836,0.97183,0.95816,0.19702,0.17646,0.79301,8.97412e-05,8.97412e-05,8.97412e-05
73,9242.44,0.17067,0.17175,0.78407,0.98291,0.96836,0.97267,0.9567,0.20507,0.17308,0.79829,7.08784e-05,7.08784e-05,7.08784e-05
74,9366.4,0.17375,0.17142,0.78626,0.98416,0.96836,0.97264,0.95855,0.19961,0.17335,0.79938,5.20156e-05,5.20156e-05,5.20156e-05
75,9493.81,0.16851,0.16989,0.77577,0.98958,0.96685,0.97235,0.95885,0.19674,0.17238,0.79876,3.31528e-05,3.31528e-05,3.31528e-05
