epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9756.73,0.35177,0.30609,0.90168,0.99673,0.98975,0.99022,0.98371,0.1913,0.16041,0.76737,0.000372683,0.000372683,0.000372683
58,9924.79,0.34341,0.29571,0.89217,0.99598,0.98975,0.98998,0.98123,0.19857,0.15889,0.76916,0.00035382,0.00035382,0.00035382
59,10091.9,0.35544,0.29999,0.90063,0.99773,0.98975,0.99,0.98347,0.19953,0.16402,0.76991,0.000334958,0.000334958,0.000334958
60,10258.9,0.33757,0.28968,0.89821,0.99878,0.98975,0.99009,0.98229,0.20046,0.16171,0.7701,0.000316095,0.000316095,0.000316095
61,10427,0.34655,0.29352,0.89681,0.99672,0.98975,0.99006,0.98509,0.18808,0.15104,0.76918,0.000297232,0.000297232,0.000297232
62,10594.4,0.33753,0.29121,0.89148,0.99616,0.984,0.98995,0.98202,0.18628,0.16196,0.76651,0.000278369,0.000278369,0.000278369
63,10762.3,0.33974,0.29264,0.90366,0.99667,0.98688,0.99006,0.98376,0.18831,0.15626,0.76458,0.000259506,0.000259506,0.000259506
64,10929.7,0.33242,0.28664,0.88908,0.99392,0.98975,0.99009,0.98581,0.17833,0.15413,0.75998,0.000240644,0.000240644,0.000240644
65,11096.5,0.3175,0.27332,0.88797,0.99859,0.98975,0.99013,0.98626,0.18373,0.1556,0.76359,0.000221781,0.000221781,0.000221781
66,11261.5,0.19182,0.19222,0.78309,0.99898,0.98975,0.99001,0.98229,0.18258,0.1487,0.76348,0.000202918,0.000202918,0.000202918
67,11426.5,0.18856,0.18569,0.7774,0.99724,0.98975,0.98992,0.98235,0.18322,0.14758,0.76398,0.000184055,0.000184055,0.000184055
68,11591.9,0.18814,0.18364,0.78336,0.9988,0.98975,0.99014,0.98307,0.17712,0.14269,0.7645,0.000165192,0.000165192,0.000165192
69,11757.1,0.18207,0.17575,0.778,0.99878,0.98975,0.99014,0.98316,0.17823,0.13855,0.76479,0.00014633,0.00014633,0.00014633
70,11922.4,0.17568,0.17174,0.77313,0.99847,0.98975,0.99025,0.98395,0.17348,0.13845,0.7625,0.000127467,0.000127467,0.000127467
71,12087.6,0.17204,0.16818,0.77936,0.99859,0.98975,0.99034,0.98418,0.16953,0.1382,0.7629,0.000108604,0.000108604,0.000108604
72,12253.3,0.17212,0.17409,0.77891,0.99877,0.98975,0.99034,0.98308,0.16954,0.13638,0.76451,8.97412e-05,8.97412e-05,8.97412e-05
73,12418,0.16813,0.16678,0.77653,0.9986,0.98975,0.99044,0.98575,0.16392,0.13186,0.76534,7.08784e-05,7.08784e-05,7.08784e-05
74,12583.4,0.16363,0.16513,0.78314,0.99878,0.98975,0.99053,0.98495,0.16481,0.12875,0.76617,5.20156e-05,5.20156e-05,5.20156e-05
75,12748.7,0.16193,0.15953,0.77686,0.99903,0.98975,0.9906,0.98558,0.16279,0.12557,0.76573,3.31528e-05,3.31528e-05,3.31528e-05
